Tarih,TP_KKO2_IS_S4
2022-10-01,79.95314
2022-11-01,78.13725
2022-12-01,78.92375
2023-01-01,77.33073
2023-02-01,77.54918
2023-03-01,74.54127
2023-04-01,77.73214
2023-05-01,79.17068
2023-06-01,79.58938
2023-07-01,80.82791
2023-08-01,78.94601
2023-09-01,80.7675
2023-10-01,80.68259
2023-11-01,81.68037
2023-12-01,80.97334
2024-01-01,79.53038
2024-02-01,79.77007
2024-03-01,79.1244
2024-04-01,79.95526
2024-05-01,79.97601
2024-06-01,79.0947
2024-07-01,79.39857
2024-08-01,77.88088
2024-09-01,76.86098
2024-10-01,77.55912
2024-11-01,79.5168
2024-12-01,79.16278
2025-01-01,77.44182
2025-02-01,76.83584
2025-03-01,77.14767
2025-04-01,77.01943
2025-05-01,78.08748
2025-06-01,77.90426
2025-07-01,77.17493
2025-08-01,75.91256
2025-09-01,77.06512
