Tarih,TP_HPBITABLO1_11,TP_HPBITABLO1_11
2012-03-30,2012-13,658662131.0
2012-04-06,2012-14,657482444.0
2012-04-13,2012-15,663657811.0
2012-04-20,2012-16,665589178.0
2012-04-27,2012-17,663364204.0
2012-05-04,2012-18,660362132.0
2012-05-11,2012-19,664899381.0
2012-05-18,2012-20,670801902.0
2012-05-25,2012-21,671968075.0
2012-06-01,2012-22,673038231.0
2012-06-08,2012-23,670583619.0
2012-06-15,2012-24,678842137.0
2012-06-22,2012-25,675638849.0
2012-06-29,2012-26,682259921.0
2012-07-06,2012-27,673406023.0
2012-07-13,2012-28,681603299.0
2012-07-20,2012-29,681160231.0
2012-07-27,2012-30,689339964.0
2012-08-03,2012-31,679162171.0
2012-08-10,2012-32,685023724.0
2012-08-17,2012-33,694943040.0
2012-08-24,2012-34,693534506.0
2012-08-31,2012-35,694008348.0
2012-09-07,2012-36,699269093.0
2012-09-14,2012-37,706600273.0
2012-09-21,2012-38,707042602.0
2012-09-28,2012-39,704565813.0
2012-10-05,2012-40,702527393.0
2012-10-12,2012-41,709891410.0
2012-10-19,2012-42,716449994.0
2012-10-26,2012-43,718724159.0
2012-11-02,2012-44,709353575.0
2012-11-09,2012-45,711123308.0
2012-11-16,2012-46,714484708.0
2012-11-23,2012-47,713205951.0
2012-11-30,2012-48,710044199.0
2012-12-07,2012-49,712794352.0
2012-12-14,2012-50,718435677.0
2012-12-21,2012-51,722072524.0
2012-12-28,2012-52,749111748.0
2013-01-04,2013-1,740352433.0
2013-01-11,2013-2,746105741.0
2013-01-18,2013-3,746456903.0
2013-01-25,2013-4,752407697.0
2013-02-01,2013-5,748711801.0
2013-02-08,2013-6,746775247.0
2013-02-15,2013-7,749459762.0
2013-02-22,2013-8,751406806.0
2013-03-01,2013-9,754633559.0
2013-03-08,2013-10,756360079.0
2013-03-15,2013-11,762838499.0
2013-03-22,2013-12,764579752.0
2013-03-29,2013-13,763376770.0
2013-04-05,2013-14,764096271.0
2013-04-12,2013-15,765474127.0
2013-04-19,2013-16,771678981.0
2013-04-26,2013-17,773290765.0
2013-05-03,2013-18,775234686.0
2013-05-10,2013-19,776247625.0
2013-05-17,2013-20,782097758.0
2013-05-24,2013-21,787133169.0
2013-05-31,2013-22,796167440.0
2013-06-07,2013-23,798445470.0
2013-06-14,2013-24,801338024.0
2013-06-21,2013-25,807336478.0
2013-06-28,2013-26,807738125.0
2013-07-05,2013-27,805480053.0
2013-07-12,2013-28,815505562.0
2013-07-19,2013-29,817663907.0
2013-07-26,2013-30,827649680.0
2013-08-02,2013-31,827332070.0
2013-08-09,2013-32,835399947.0
2013-08-16,2013-33,833412545.0
2013-08-23,2013-34,843952026.0
2013-08-30,2013-35,852131839.0
2013-09-06,2013-36,859158608.0
2013-09-13,2013-37,855937784.0
2013-09-20,2013-38,853575989.0
2013-09-27,2013-39,866492140.0
2013-10-04,2013-40,863332054.0
2013-10-11,2013-41,878822314.0
2013-10-18,2013-42,878499664.0
2013-10-25,2013-43,869698340.0
2013-11-01,2013-44,869674023.0
2013-11-08,2013-45,873481956.0
2013-11-15,2013-46,884645632.0
2013-11-22,2013-47,876167611.0
2013-11-29,2013-48,880339157.0
2013-12-06,2013-49,884174383.0
2013-12-13,2013-50,889813406.0
2013-12-20,2013-51,895190939.0
2013-12-27,2013-52,910052031.0
2014-01-03,2014-1,909422484.0
2014-01-10,2014-2,916141258.0
2014-01-17,2014-3,922838109.0
2014-01-24,2014-4,937215594.0
2014-01-31,2014-5,926478417.0
2014-02-07,2014-6,923815617.0
2014-02-14,2014-7,926716564.0
2014-02-21,2014-8,927053881.0
2014-02-28,2014-9,930660071.0
2014-03-07,2014-10,927841207.0
2014-03-14,2014-11,938869993.0
2014-03-21,2014-12,945874131.0
2014-03-28,2014-13,938075201.0
2014-04-04,2014-14,924504467.0
2014-04-11,2014-15,924955190.0
2014-04-18,2014-16,934712477.0
2014-04-25,2014-17,934676019.0
2014-05-02,2014-18,931376086.0
2014-05-09,2014-19,923622889.0
2014-05-16,2014-20,931075826.0
2014-05-23,2014-21,929538577.0
2014-05-30,2014-22,927561878.0
2014-06-06,2014-23,931376485.0
2014-06-13,2014-24,938383007.0
2014-06-20,2014-25,942908286.0
2014-06-27,2014-26,953050237.0
2014-07-04,2014-27,944848670.0
2014-07-11,2014-28,950826640.0
2014-07-18,2014-29,956604316.0
2014-07-25,2014-30,966305479.0
2014-08-01,2014-31,969837794.0
2014-08-08,2014-32,967176539.0
2014-08-15,2014-33,972441012.0
2014-08-22,2014-34,973011758.0
2014-08-29,2014-35,968718703.0
2014-09-05,2014-36,970234351.0
2014-09-12,2014-37,979065876.0
2014-09-19,2014-38,988474320.0
2014-09-26,2014-39,993410265.0
2014-10-03,2014-40,976823418.0
2014-10-10,2014-41,994353837.0
2014-10-17,2014-42,999958503.0
2014-10-24,2014-43,991708877.0
2014-10-31,2014-44,985863566.0
2014-11-07,2014-45,988314143.0
2014-11-14,2014-46,992814396.0
2014-11-21,2014-47,985137562.0
2014-11-28,2014-48,986974398.0
2014-12-05,2014-49,990723565.0
2014-12-12,2014-50,1001295404.0
2014-12-19,2014-51,1010660977.0
2014-12-26,2014-52,1018546164.0
2015-01-02,2015-1,1011518564.0
2015-01-09,2015-2,1008599486.0
2015-01-16,2015-3,1005352335.0
2015-01-23,2015-4,1017529646.0
2015-01-30,2015-5,1018089918.0
2015-02-06,2015-6,1033438497.0
2015-02-13,2015-7,1042167968.0
2015-02-20,2015-8,1035090461.0
2015-02-27,2015-9,1043797489.0
2015-03-06,2015-10,1060841086.0
2015-03-13,2015-11,1060004118.0
2015-03-20,2015-12,1069209016.0
2015-03-27,2015-13,1071698355.0
2015-04-03,2015-14,1073547302.0
2015-04-10,2015-15,1075352208.0
2015-04-17,2015-16,1099099203.0
2015-04-24,2015-17,1099841955.0
2015-05-01,2015-18,1100339648.0
2015-05-08,2015-19,1109532702.0
2015-05-15,2015-20,1111865662.0
2015-05-22,2015-21,1096729815.0
2015-05-29,2015-22,1109564558.0
2015-06-05,2015-23,1122564726.0
2015-06-12,2015-24,1140767601.0
2015-06-19,2015-25,1139117832.0
2015-06-26,2015-26,1129259516.0
2015-07-03,2015-27,1128462412.0
2015-07-10,2015-28,1128368340.0
2015-07-17,2015-29,1138085486.0
2015-07-24,2015-30,1145769360.0
2015-07-31,2015-31,1151798945.0
2015-08-07,2015-32,1147926522.0
2015-08-14,2015-33,1161460901.0
2015-08-21,2015-34,1191280922.0
2015-08-28,2015-35,1177719805.0
2015-09-04,2015-36,1191508089.8
2015-09-11,2015-37,1209452581.8
2015-09-18,2015-38,1224008574.1
2015-09-25,2015-39,1219086712.2
2015-10-02,2015-40,1209949953.6
2015-10-09,2015-41,1200384608.4
2015-10-16,2015-42,1201056079.0
2015-10-23,2015-43,1197210135.1
2015-10-30,2015-44,1189979857.8
2015-11-06,2015-45,1181725788.2
2015-11-13,2015-46,1189781196.8
2015-11-20,2015-47,1179762922.0
2015-11-27,2015-48,1189513751.0
2015-12-04,2015-49,1187955565.3
2015-12-11,2015-50,1200466687.7
2015-12-18,2015-51,1200737624.8
2015-12-25,2015-52,1206005293.9
2016-01-01,2016-1,1195810094.9
2016-01-08,2016-2,1211140861.4
2016-01-15,2016-3,1215716394.9
2016-01-22,2016-4,1217977485.3
2016-01-29,2016-5,1205697764.3
2016-02-05,2016-6,1202503425.2
2016-02-12,2016-7,1212097325.5
2016-02-19,2016-8,1219267120.3
2016-02-26,2016-9,1215825528.2
2016-03-04,2016-10,1218555102.3
2016-03-11,2016-11,1219220094.2
2016-03-18,2016-12,1226501112.5
2016-03-25,2016-13,1231396884.1
2016-04-01,2016-14,1228451260.3
2016-04-08,2016-15,1230203778.5
2016-04-15,2016-16,1238229396.8
2016-04-22,2016-17,1232889059.7
2016-04-29,2016-18,1232969975.8
2016-05-06,2016-19,1250724638.5
2016-05-13,2016-20,1258482121.5
2016-05-20,2016-21,1261828204.1
2016-05-27,2016-22,1256921835.0
2016-06-03,2016-23,1261684536.6
2016-06-10,2016-24,1260590433.0
2016-06-17,2016-25,1273084465.9
2016-06-24,2016-26,1272179301.0
2016-07-01,2016-27,1269023933.3
2016-07-08,2016-28,1267715565.8
2016-07-15,2016-29,1270377450.2
2016-07-22,2016-30,1300872565.9
2016-07-29,2016-31,1287193948.7
2016-08-05,2016-32,1289727895.9
2016-08-12,2016-33,1287518283.4
2016-08-19,2016-34,1285618255.1
2016-08-26,2016-35,1288385902.0
2016-09-02,2016-36,1290897025.2
2016-09-09,2016-37,1318420948.0
2016-09-16,2016-38,1320044240.2
2016-09-23,2016-39,1303971062.0
2016-09-30,2016-40,1304717378.2
2016-10-07,2016-41,1313729717.5
2016-10-14,2016-42,1324612005.8
2016-10-21,2016-43,1326074910.4
2016-10-28,2016-44,1327264813.9
2016-11-04,2016-45,1334202024.1
2016-11-11,2016-46,1348553880.5
2016-11-18,2016-47,1360793672.5
2016-11-25,2016-48,1374548287.0
2016-12-02,2016-49,1374714489.1
2016-12-09,2016-50,1366390269.8
2016-12-16,2016-51,1393105847.5
2016-12-23,2016-52,1396281360.6
2016-12-30,2016-53,1406729187.9
2017-01-06,2017-1,1405512426.5
2017-01-13,2017-2,1433418429.9
2017-01-20,2017-3,1431228459.7
2017-01-27,2017-4,1434455755.5
2017-02-03,2017-5,1415841538.0
