Tarih,TP_TIG02
2014-02-01,28034.0
2014-03-01,28462.0
2014-04-01,28520.0
2014-05-01,28421.0
2014-06-01,28889.0
2014-07-01,28541.0
2014-08-01,28352.0
2014-09-01,29037.0
2014-10-01,28916.0
2014-11-01,28837.0
2014-12-01,29112.0
2015-01-01,29250.0
2015-02-01,29137.0
2015-03-01,29277.0
2015-04-01,29394.0
2015-05-01,29353.0
2015-06-01,29719.0
2015-07-01,29597.0
2015-08-01,29602.0
2015-09-01,29760.0
2015-10-01,29997.0
2015-11-01,29934.0
2015-12-01,29948.0
2016-01-01,30163.0
2016-02-01,29887.0
2016-03-01,29940.0
2016-04-01,30325.0
2016-05-01,30356.0
2016-06-01,30345.0
2016-07-01,30356.0
2016-08-01,30621.0
2016-09-01,30539.0
2016-10-01,30881.0
2016-11-01,30972.0
2016-12-01,30998.0
2017-01-01,31041.0
2017-02-01,31236.0
2017-03-01,31003.0
2017-04-01,31291.0
2017-05-01,31568.0
2017-06-01,31240.0
2017-07-01,31642.0
2017-08-01,31728.0
2017-09-01,31629.0
2017-10-01,31859.0
2017-11-01,31891.0
2017-12-01,31849.0
2018-01-01,31921.0
2018-02-01,31839.0
2018-03-01,31873.0
2018-04-01,32062.0
2018-05-01,32207.0
2018-06-01,32135.0
2018-07-01,32469.0
2018-08-01,32332.0
2018-09-01,32495.0
2018-10-01,32335.0
2018-11-01,32324.0
2018-12-01,32403.0
2019-01-01,32118.0
2019-02-01,32426.0
2019-03-01,32850.0
2019-04-01,32375.0
2019-05-01,32678.0
2019-06-01,32567.0
2019-07-01,32524.0
2019-08-01,32458.0
2019-09-01,32499.0
2019-10-01,32414.0
2019-11-01,32577.0
2019-12-01,32555.0
2020-01-01,31918.0
2020-02-01,31937.0
2020-03-01,30283.0
2020-04-01,29006.0
2020-05-01,29615.0
2020-06-01,30591.0
2020-07-01,30443.0
2020-08-01,30956.0
2020-09-01,31093.0
2020-10-01,31085.0
2020-11-01,31068.0
2020-12-01,31003.0
2021-01-01,31876.0
2021-02-01,31811.0
2021-03-01,32570.0
2021-04-01,32785.0
2021-05-01,32229.0
2021-06-01,32078.0
2021-07-01,32536.0
2021-08-01,32855.0
2021-09-01,33311.0
2021-10-01,33462.0
2021-11-01,33279.0
2021-12-01,33731.0
2022-01-01,33829.0
2022-02-01,33549.0
2022-03-01,33868.0
2022-04-01,34218.0
2022-05-01,34514.0
2022-06-01,34354.0
2022-07-01,33889.0
2022-08-01,34315.0
2022-09-01,34434.0
2022-10-01,34597.0
2022-11-01,35048.0
2022-12-01,35095.0
2023-01-01,35076.0
2023-02-01,34653.0
2023-03-01,34800.0
2023-04-01,35033.0
2023-05-01,35053.0
2023-06-01,34635.0
2023-07-01,35009.0
2023-08-01,34895.0
2023-09-01,34819.0
2023-10-01,34736.0
2023-11-01,34819.0
2023-12-01,35423.0
2024-01-01,35238.0
2024-02-01,35843.0
2024-03-01,35858.0
2024-04-01,35499.0
2024-05-01,36015.0
2024-06-01,35621.0
2024-07-01,35575.0
2024-08-01,35703.0
2024-09-01,35711.0
2024-10-01,35850.0
2024-11-01,35727.0
2024-12-01,35696.0
2025-01-01,35472.0
2025-02-01,35233.0
2025-03-01,35644.0
2025-04-01,35522.0
2025-05-01,35584.0
2025-06-01,35636.0
2025-07-01,35497.0
2025-08-01,35873.0
