Tarih,TP_KTFTUK,TP_KTFTUK
2006-08-18,2006-33,25.62
2006-08-25,2006-34,25.41
2006-09-01,2006-35,24.93
2006-09-08,2006-36,25.07
2006-09-15,2006-37,24.58
2006-09-22,2006-38,24.7
2006-09-29,2006-39,24.54
2006-10-06,2006-40,24.63
2006-10-13,2006-41,24.33
2006-10-20,2006-42,24.29
2006-10-27,2006-43,24.8
2006-11-03,2006-44,24.51
2006-11-10,2006-45,24.57
2006-11-17,2006-46,24.17
2006-11-24,2006-47,23.49
2006-12-01,2006-48,22.26
2006-12-08,2006-49,22.86
2006-12-15,2006-50,22.62
2006-12-22,2006-51,23.38
2006-12-29,2006-52,23.12
2007-01-05,2007-1,23.26
2007-01-12,2007-2,23.81
2007-01-19,2007-3,23.89
2007-01-26,2007-4,23.95
2007-02-02,2007-5,23.57
2007-02-09,2007-6,23.16
2007-02-16,2007-7,22.65
2007-02-23,2007-8,22.75
2007-03-02,2007-9,22.6
2007-03-09,2007-10,22.49
2007-03-16,2007-11,22.36
2007-03-23,2007-12,22.18
2007-03-30,2007-13,22.36
2007-04-06,2007-14,22.0
2007-04-13,2007-15,21.67
2007-04-20,2007-16,21.35
2007-04-27,2007-17,21.62
2007-05-04,2007-18,21.35
2007-05-11,2007-19,21.56
2007-05-18,2007-20,21.09
2007-05-25,2007-21,21.0
2007-06-01,2007-22,21.22
2007-06-08,2007-23,20.98
2007-06-15,2007-24,21.33
2007-06-22,2007-25,21.08
2007-06-29,2007-26,20.92
2007-07-06,2007-27,20.65
2007-07-13,2007-28,20.57
2007-07-20,2007-29,20.26
2007-07-27,2007-30,21.5
2007-08-03,2007-31,20.06
2007-08-10,2007-32,20.08
2007-08-17,2007-33,19.8
2007-08-24,2007-34,19.86
2007-08-31,2007-35,20.13
2007-09-07,2007-36,20.13
2007-09-14,2007-37,20.09
2007-09-21,2007-38,21.74
2007-09-28,2007-39,20.06
2007-10-05,2007-40,19.88
2007-10-12,2007-41,19.82
2007-10-19,2007-42,19.73
2007-10-26,2007-43,20.08
2007-11-02,2007-44,20.37
2007-11-09,2007-45,19.78
2007-11-16,2007-46,19.17
2007-11-23,2007-47,18.91
2007-11-30,2007-48,18.71
2007-12-07,2007-49,18.58
2007-12-14,2007-50,18.34
2007-12-21,2007-51,18.3
2007-12-28,2007-52,17.97
2008-01-04,2008-1,18.36
2008-01-11,2008-2,18.61
2008-01-18,2008-3,18.52
2008-01-25,2008-4,18.38
2008-02-01,2008-5,18.35
2008-02-08,2008-6,18.11
2008-02-15,2008-7,18.32
2008-02-22,2008-8,18.42
2008-02-29,2008-9,18.69
2008-03-07,2008-10,18.89
2008-03-14,2008-11,18.67
2008-03-21,2008-12,19.23
2008-03-28,2008-13,19.72
2008-04-04,2008-14,19.85
2008-04-11,2008-15,19.99
2008-04-18,2008-16,19.62
2008-04-25,2008-17,19.83
2008-05-02,2008-18,19.59
2008-05-09,2008-19,19.65
2008-05-16,2008-20,19.39
2008-05-23,2008-21,19.33
2008-05-30,2008-22,19.62
2008-06-06,2008-23,19.56
2008-06-13,2008-24,19.53
2008-06-20,2008-25,19.86
2008-06-27,2008-26,20.54
2008-07-04,2008-27,20.28
2008-07-11,2008-28,20.75
2008-07-18,2008-29,20.8
2008-07-25,2008-30,21.27
2008-08-01,2008-31,21.57
2008-08-08,2008-32,21.53
2008-08-15,2008-33,21.34
2008-08-22,2008-34,21.09
2008-08-29,2008-35,20.69
2008-09-05,2008-36,21.12
2008-09-12,2008-37,20.91
2008-09-19,2008-38,20.03
2008-09-26,2008-39,19.77
2008-10-03,2008-40,20.25
2008-10-10,2008-41,20.46
2008-10-17,2008-42,21.21
2008-10-24,2008-43,21.87
2008-10-31,2008-44,22.81
2008-11-07,2008-45,24.33
2008-11-14,2008-46,25.42
2008-11-21,2008-47,24.55
2008-11-28,2008-48,23.93
2008-12-05,2008-49,24.47
2008-12-12,2008-50,24.29
2008-12-19,2008-51,24.27
2008-12-26,2008-52,23.27
2009-01-02,2009-1,25.11
2009-01-09,2009-2,22.96
2009-01-16,2009-3,21.79
2009-01-23,2009-4,20.49
2009-01-30,2009-5,19.98
2009-02-06,2009-6,20.27
2009-02-13,2009-7,20.87
2009-02-20,2009-8,20.52
2009-02-27,2009-9,20.49
2009-03-06,2009-10,21.17
2009-03-13,2009-11,21.02
2009-03-20,2009-12,20.8
2009-03-27,2009-13,19.54
2009-04-03,2009-14,18.28
2009-04-10,2009-15,18.45
2009-04-17,2009-16,18.59
2009-04-24,2009-17,18.73
2009-05-01,2009-18,18.52
2009-05-08,2009-19,19.08
2009-05-15,2009-20,19.15
2009-05-22,2009-21,19.15
2009-05-29,2009-22,18.7
2009-06-05,2009-23,19.08
2009-06-12,2009-24,18.94
2009-06-19,2009-25,18.9
2009-06-26,2009-26,18.76
2009-07-03,2009-27,18.63
2009-07-10,2009-28,18.73
2009-07-17,2009-29,18.61
2009-07-24,2009-30,18.5
2009-07-31,2009-31,18.36
2009-08-07,2009-32,18.15
2009-08-14,2009-33,17.71
2009-08-21,2009-34,17.71
2009-08-28,2009-35,16.2
2009-09-04,2009-36,15.25
2009-09-11,2009-37,14.73
2009-09-18,2009-38,14.47
2009-09-25,2009-39,14.45
2009-10-02,2009-40,14.6
2009-10-09,2009-41,14.7
2009-10-16,2009-42,14.63
2009-10-23,2009-43,14.75
2009-10-30,2009-44,14.42
2009-11-06,2009-45,14.19
2009-11-13,2009-46,13.59
2009-11-20,2009-47,13.4
2009-11-27,2009-48,13.49
2009-12-04,2009-49,13.76
2009-12-11,2009-50,13.77
2009-12-18,2009-51,13.86
2009-12-25,2009-52,13.92
2010-01-01,2010-1,13.68
2010-01-08,2010-2,13.86
2010-01-15,2010-3,13.82
2010-01-22,2010-4,13.84
2010-01-29,2010-5,13.76
2010-02-05,2010-6,13.67
2010-02-12,2010-7,13.61
2010-02-19,2010-8,13.44
2010-02-26,2010-9,13.36
2010-03-05,2010-10,13.65
2010-03-12,2010-11,13.72
2010-03-19,2010-12,13.58
2010-03-26,2010-13,13.1
2010-04-02,2010-14,12.96
2010-04-09,2010-15,13.05
2010-04-16,2010-16,12.87
2010-04-23,2010-17,13.18
2010-04-30,2010-18,12.96
2010-05-07,2010-19,13.0
2010-05-14,2010-20,13.11
2010-05-21,2010-21,13.25
2010-05-28,2010-22,13.25
2010-06-04,2010-23,13.13
2010-06-11,2010-24,13.03
2010-06-18,2010-25,13.09
2010-06-25,2010-26,12.88
2010-07-02,2010-27,12.72
2010-07-09,2010-28,12.81
2010-07-16,2010-29,12.77
2010-07-23,2010-30,12.72
2010-07-30,2010-31,12.38
2010-08-06,2010-32,12.44
2010-08-13,2010-33,12.33
2010-08-20,2010-34,11.87
2010-08-27,2010-35,11.79
2010-09-03,2010-36,11.78
2010-09-10,2010-37,11.76
2010-09-17,2010-38,11.79
2010-09-24,2010-39,11.8
2010-10-01,2010-40,11.54
2010-10-08,2010-41,11.52
2010-10-15,2010-42,11.49
2010-10-22,2010-43,11.32
2010-10-29,2010-44,11.52
2010-11-05,2010-45,11.37
2010-11-12,2010-46,11.18
2010-11-19,2010-47,
2010-11-26,2010-48,11.19
2010-12-03,2010-49,11.0
2010-12-10,2010-50,10.99
2010-12-17,2010-51,10.86
2010-12-24,2010-52,10.83
2010-12-31,2010-53,10.58
2011-01-07,2011-1,10.88
2011-01-14,2011-2,10.92
2011-01-21,2011-3,10.88
2011-01-28,2011-4,10.75
2011-02-04,2011-5,10.83
2011-02-11,2011-6,11.04
2011-02-18,2011-7,11.08
2011-02-25,2011-8,11.11
2011-03-04,2011-9,11.07
2011-03-11,2011-10,11.14
2011-03-18,2011-11,11.19
2011-03-25,2011-12,11.2
2011-04-01,2011-13,11.25
2011-04-08,2011-14,11.47
2011-04-15,2011-15,11.6
2011-04-22,2011-16,11.67
2011-04-29,2011-17,11.65
2011-05-06,2011-18,11.75
2011-05-13,2011-19,11.93
2011-05-20,2011-20,11.96
2011-05-27,2011-21,12.09
2011-06-03,2011-22,12.04
2011-06-10,2011-23,12.27
2011-06-17,2011-24,12.54
2011-06-24,2011-25,13.0
2011-07-01,2011-26,14.12
2011-07-08,2011-27,14.79
2011-07-15,2011-28,15.17
2011-07-22,2011-29,15.27
2011-07-29,2011-30,15.57
2011-08-05,2011-31,15.55
2011-08-12,2011-32,15.74
2011-08-19,2011-33,15.8
2011-08-26,2011-34,15.88
2011-09-02,2011-35,16.14
2011-09-09,2011-36,16.09
2011-09-16,2011-37,15.83
2011-09-23,2011-38,15.84
2011-09-30,2011-39,15.57
2011-10-07,2011-40,15.52
2011-10-14,2011-41,15.42
2011-10-21,2011-42,15.48
2011-10-28,2011-43,15.44
2011-11-04,2011-44,16.91
2011-11-11,2011-45,17.69
2011-11-18,2011-46,17.66
2011-11-25,2011-47,17.6
2011-12-02,2011-48,17.65
2011-12-09,2011-49,17.84
2011-12-16,2011-50,17.67
2011-12-23,2011-51,17.88
2011-12-30,2011-52,17.1
2012-01-06,2012-1,18.06
2012-01-13,2012-2,18.34
2012-01-20,2012-3,18.22
2012-01-27,2012-4,18.28
2012-02-03,2012-5,18.05
2012-02-10,2012-6,17.84
2012-02-17,2012-7,17.56
2012-02-24,2012-8,17.33
2012-03-02,2012-9,17.25
2012-03-09,2012-10,17.15
2012-03-16,2012-11,16.65
2012-03-23,2012-12,16.66
2012-03-30,2012-13,16.51
2012-04-06,2012-14,16.73
2012-04-13,2012-15,16.51
2012-04-20,2012-16,16.28
2012-04-27,2012-17,16.43
2012-05-04,2012-18,16.3
2012-05-11,2012-19,16.04
2012-05-18,2012-20,16.05
2012-05-25,2012-21,16.13
2012-06-01,2012-22,15.81
2012-06-08,2012-23,16.14
2012-06-15,2012-24,15.91
2012-06-22,2012-25,15.84
2012-06-29,2012-26,15.81
2012-07-06,2012-27,15.79
2012-07-13,2012-28,15.74
2012-07-20,2012-29,15.61
2012-07-27,2012-30,15.54
2012-08-03,2012-31,15.4
2012-08-10,2012-32,15.51
2012-08-17,2012-33,15.24
2012-08-24,2012-34,15.67
2012-08-31,2012-35,15.23
2012-09-07,2012-36,14.85
2012-09-14,2012-37,14.81
2012-09-21,2012-38,14.76
2012-09-28,2012-39,14.45
2012-10-05,2012-40,14.43
2012-10-12,2012-41,14.12
2012-10-19,2012-42,13.97
2012-10-26,2012-43,14.07
2012-11-02,2012-44,14.01
2012-11-09,2012-45,13.73
2012-11-16,2012-46,13.48
2012-11-23,2012-47,13.49
2012-11-30,2012-48,13.19
2012-12-07,2012-49,12.7
2012-12-14,2012-50,12.42
2012-12-21,2012-51,12.21
2012-12-28,2012-52,11.92
2013-01-04,2013-1,11.99
2013-01-11,2013-2,12.02
2013-01-18,2013-3,12.09
2013-01-25,2013-4,12.07
2013-02-01,2013-5,11.91
2013-02-08,2013-6,11.9
2013-02-15,2013-7,11.86
2013-02-22,2013-8,11.87
2013-03-01,2013-9,11.91
2013-03-08,2013-10,11.84
2013-03-15,2013-11,11.69
2013-03-22,2013-12,11.77
2013-03-29,2013-13,11.43
2013-04-05,2013-14,11.53
2013-04-12,2013-15,11.55
2013-04-19,2013-16,11.58
2013-04-26,2013-17,11.63
2013-05-03,2013-18,11.49
2013-05-10,2013-19,11.29
2013-05-17,2013-20,10.9
2013-05-24,2013-21,10.67
2013-05-31,2013-22,10.35
2013-06-07,2013-23,10.05
2013-06-14,2013-24,9.97
2013-06-21,2013-25,10.03
2013-06-28,2013-26,9.93
2013-07-05,2013-27,10.39
2013-07-12,2013-28,10.7
2013-07-19,2013-29,11.13
2013-07-26,2013-30,11.46
2013-08-02,2013-31,11.49
2013-08-09,2013-32,11.73
2013-08-16,2013-33,11.86
2013-08-23,2013-34,12.04
2013-08-30,2013-35,12.01
2013-09-06,2013-36,12.52
2013-09-13,2013-37,12.69
2013-09-20,2013-38,12.92
2013-09-27,2013-39,12.85
2013-10-04,2013-40,12.89
2013-10-11,2013-41,12.88
2013-10-18,2013-42,12.83
2013-10-25,2013-43,12.96
2013-11-01,2013-44,12.84
2013-11-08,2013-45,12.69
2013-11-15,2013-46,12.53
2013-11-22,2013-47,12.53
2013-11-29,2013-48,12.37
2013-12-06,2013-49,12.42
2013-12-13,2013-50,12.48
2013-12-20,2013-51,12.34
2013-12-27,2013-52,12.58
2014-01-03,2014-1,12.59
2014-01-10,2014-2,13.56
2014-01-17,2014-3,13.7
2014-01-24,2014-4,13.8
2014-01-31,2014-5,13.92
2014-02-07,2014-6,14.96
2014-02-14,2014-7,15.58
2014-02-21,2014-8,15.54
2014-02-28,2014-9,15.75
2014-03-07,2014-10,15.77
2014-03-14,2014-11,15.77
2014-03-21,2014-12,15.97
2014-03-28,2014-13,16.05
2014-04-04,2014-14,16.0
2014-04-11,2014-15,15.98
2014-04-18,2014-16,15.82
2014-04-25,2014-17,15.65
2014-05-02,2014-18,15.63
2014-05-09,2014-19,15.5
2014-05-16,2014-20,15.45
2014-05-23,2014-21,15.36
2014-05-30,2014-22,15.2
2014-06-06,2014-23,15.02
2014-06-13,2014-24,14.69
2014-06-20,2014-25,14.47
2014-06-27,2014-26,14.33
2014-07-04,2014-27,14.09
2014-07-11,2014-28,13.9
2014-07-18,2014-29,13.73
2014-07-25,2014-30,13.74
2014-08-01,2014-31,13.86
2014-08-08,2014-32,13.65
2014-08-15,2014-33,13.5
2014-08-22,2014-34,13.43
2014-08-29,2014-35,13.47
2014-09-05,2014-36,13.38
2014-09-12,2014-37,13.29
2014-09-19,2014-38,13.23
2014-09-26,2014-39,13.14
2014-10-03,2014-40,12.96
2014-10-10,2014-41,13.28
2014-10-17,2014-42,13.3
2014-10-24,2014-43,13.23
2014-10-31,2014-44,13.25
2014-11-07,2014-45,13.33
2014-11-14,2014-46,13.22
2014-11-21,2014-47,13.13
2014-11-28,2014-48,13.07
2014-12-05,2014-49,13.21
2014-12-12,2014-50,13.09
2014-12-19,2014-51,13.0
2014-12-26,2014-52,13.07
2015-01-02,2015-1,13.69
2015-01-09,2015-2,13.89
2015-01-16,2015-3,13.83
2015-01-23,2015-4,13.84
2015-01-30,2015-5,13.77
2015-02-06,2015-6,13.74
2015-02-13,2015-7,13.75
2015-02-20,2015-8,13.61
2015-02-27,2015-9,13.54
2015-03-06,2015-10,13.44
2015-03-13,2015-11,13.22
2015-03-20,2015-12,13.23
2015-03-27,2015-13,13.48
2015-04-03,2015-14,13.57
2015-04-10,2015-15,13.57
2015-04-17,2015-16,13.48
2015-04-24,2015-17,13.75
2015-05-01,2015-18,13.8
2015-05-08,2015-19,14.12
2015-05-15,2015-20,14.21
2015-05-22,2015-21,14.47
2015-05-29,2015-22,14.25
2015-06-05,2015-23,14.16
2015-06-12,2015-24,14.26
2015-06-19,2015-25,14.96
2015-06-26,2015-26,14.48
2015-07-03,2015-27,14.55
2015-07-10,2015-28,14.72
2015-07-17,2015-29,14.95
2015-07-24,2015-30,14.85
2015-07-31,2015-31,14.8
2015-08-07,2015-32,14.8
2015-08-14,2015-33,14.77
2015-08-21,2015-34,14.92
2015-08-28,2015-35,15.36
2015-09-04,2015-36,15.57
2015-09-11,2015-37,15.73
2015-09-18,2015-38,16.12
2015-09-25,2015-39,16.54
2015-10-02,2015-40,16.41
2015-10-09,2015-41,16.76
2015-10-16,2015-42,16.81
2015-10-23,2015-43,16.88
2015-10-30,2015-44,16.84
2015-11-06,2015-45,16.74
2015-11-13,2015-46,16.8
2015-11-20,2015-47,16.56
2015-11-27,2015-48,16.2
2015-12-04,2015-49,16.36
2015-12-11,2015-50,16.36
2015-12-18,2015-51,16.38
2015-12-25,2015-52,16.42
2016-01-01,2016-1,16.31
2016-01-08,2016-2,16.74
2016-01-15,2016-3,16.75
2016-01-22,2016-4,16.73
2016-01-29,2016-5,16.9
2016-02-05,2016-6,17.0
2016-02-12,2016-7,17.08
2016-02-19,2016-8,16.94
2016-02-26,2016-9,17.01
2016-03-04,2016-10,17.01
2016-03-11,2016-11,17.06
2016-03-18,2016-12,16.96
2016-03-25,2016-13,16.98
2016-04-01,2016-14,16.88
2016-04-08,2016-15,16.95
2016-04-15,2016-16,16.85
2016-04-22,2016-17,16.85
2016-04-29,2016-18,16.62
2016-05-06,2016-19,16.52
2016-05-13,2016-20,16.46
2016-05-20,2016-21,16.52
2016-05-27,2016-22,16.43
2016-06-03,2016-23,16.34
2016-06-10,2016-24,16.23
2016-06-17,2016-25,16.32
2016-06-24,2016-26,16.37
2016-07-01,2016-27,16.27
2016-07-08,2016-28,17.1
2016-07-15,2016-29,16.52
2016-07-22,2016-30,16.25
2016-07-29,2016-31,16.42
2016-08-05,2016-32,16.59
2016-08-12,2016-33,16.54
2016-08-19,2016-34,16.03
2016-08-26,2016-35,15.64
2016-09-02,2016-36,15.56
2016-09-09,2016-37,15.43
2016-09-16,2016-38,17.01
2016-09-23,2016-39,15.67
2016-09-30,2016-40,15.28
2016-10-07,2016-41,15.58
2016-10-14,2016-42,15.55
2016-10-21,2016-43,15.42
2016-10-28,2016-44,15.43
2016-11-04,2016-45,15.15
2016-11-11,2016-46,14.85
2016-11-18,2016-47,14.7
2016-11-25,2016-48,14.63
2016-12-02,2016-49,14.92
2016-12-09,2016-50,14.84
2016-12-16,2016-51,14.63
2016-12-23,2016-52,14.65
2016-12-30,2016-53,14.51
2017-01-06,2017-1,14.8
2017-01-13,2017-2,14.83
2017-01-20,2017-3,15.07
2017-01-27,2017-4,15.13
